"","RD12951DM","RD12952DM","RD12953DM","RD12954DM","RD12955DM","RD12956DM","RD12957DM","RD12958DM","RD12959DM","RD12960DM","RD12961DM","RD12962DM","RD12963DM","RD12964DM","RD12965DM","RD12966DM","RD12967DM","RD12968DM","RD12969DM","RD12970DM","RD12971DM","RD12972DM","RD12973DM","RD12974DM","RD12975DM","RD12976DM","RD12977DM","RD12978DM","RD12979DM","RD12980DM","RD12981DM","RD12982DM","RD12983DM","RD12984DM","RD12985DM","RD12986DM","RD12987DM","RD12988DM","RD12989DM","RD12990DM","RD12991DM","RD12992DM","RD12993DM","RD12994DM","RD12995DM","RD12996DM","RD12997DM","RD12998DM","RD12999DM","RD13000DM","RD13001DM","RD13002DM","RD13003DM","RD13004DM","RD13005DM","RD13006DM","RD13007DM","RD13008DM","RD13009DM","RD13010DM","RD13011DM","RD13012DM","RD13013DM","RD13014DM","RD13015DM","RD13016DM","RD13017DM","RD13018DM","RD13019DM","RD13020DM","RD13021DM","RD13022DM","RD13023DM","RD13024DM","RD13025DM","RD13026DM","RD13027DM","RD13028DM","RD13029DM","RD13030DM","RD13031DM","RD13032DM","RD13033DM","RD13034DM","RD13035DM","RD13036DM","RD13037DM","RD13038DM","RD13039DM","RD13040DM","RD13041DM","RD13042DM"
"","Producción de productos mineros según departamentos - Cobre - Total (tm.f)","Producción de productos mineros según departamentos - Cobre - Ancash (tm.f)","Producción de productos mineros según departamentos - Cobre - Apurimac (tm.f)","Producción de productos mineros según departamentos - Cobre - Arequipa (tm.f)","Producción de productos mineros según departamentos - Cobre - Ayacucho (tm.f)","Producción de productos mineros según departamentos - Cobre - Cajamarca (tm.f)","Producción de productos mineros según departamentos - Cobre - Cusco (tm.f)","Producción de productos mineros según departamentos - Cobre - Huancavelica (tm.f)","Producción de productos mineros según departamentos - Cobre - Huánuco (tm.f)","Producción de productos mineros según departamentos - Cobre - Ica (tm.f)","Producción de productos mineros según departamentos - Cobre - Junín (tm.f)","Producción de productos mineros según departamentos - Cobre - La Libertad (tm.f)","Producción de productos mineros según departamentos - Cobre - Lima (tm.f)","Producción de productos mineros según departamentos - Cobre - Moquegua (tm.f)","Producción de productos mineros según departamentos - Cobre - Pasco (tm.f)","Producción de productos mineros según departamentos - Cobre - Puno (tm.f)","Producción de productos mineros según departamentos - Cobre - Tacna (tm.f)","Producción de productos mineros según departamentos - Estaño - Total (tm.f)","Producción de productos mineros según departamentos - Estaño - Puno (tm.f)","Producción de productos mineros según departamentos - Hierro - Total (tm.f)","Producción de productos mineros según departamentos - Hierro - Ica (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Total (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Ancash (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Arequipa (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Junín (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Moquegua (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Tacna (tm.f)","Producción de productos mineros según departamentos - Oro - Total (grs.f)","Producción de productos mineros según departamentos - Oro - Ancash (grs.f)","Producción de productos mineros según departamentos - Oro - Apurimac (grs.f)","Producción de productos mineros según departamentos - Oro - Arequipa (grs.f)","Producción de productos mineros según departamentos - Oro - Ayacucho (grs.f)","Producción de productos mineros según departamentos - Oro - Cajamarca (grs.f)","Producción de productos mineros según departamentos - Oro - Cusco (grs.f)","Producción de productos mineros según departamentos - Oro - Huancavelica (grs.f)","Producción de productos mineros según departamentos - Oro - Ica (grs.f)","Producción de productos mineros según departamentos - Oro - Junín (grs.f)","Producción de productos mineros según departamentos - Oro - La Libertad (grs.f)","Producción de productos mineros según departamentos - Oro - Lambayeque (grs.f)","Producción de productos mineros según departamentos - Oro - Lima (grs.f)","Producción de productos mineros según departamentos - Oro - Madre de Dios (grs.f)","Producción de productos mineros según departamentos - Oro - Moquegua (grs.f)","Producción de productos mineros según departamentos - Oro - Pasco (grs.f)","Producción de productos mineros según departamentos - Oro - Puno (grs.f)","Producción de productos mineros según departamentos - Oro - Tacna (grs.f)","Producción de productos mineros según departamentos - Plata - Total (kg.f)","Producción de productos mineros según departamentos - Plata - Ancash (kg.f)","Producción de productos mineros según departamentos - Plata - Apurímac (kg.f)","Producción de productos mineros según departamentos - Plata - Arequipa (kg.f)","Producción de productos mineros según departamentos - Plata - Ayacucho (kg.f)","Producción de productos mineros según departamentos - Plata - Cajamarca (kg.f)","Producción de productos mineros según departamentos - Plata - Cusco (kg.f)","Producción de productos mineros según departamentos - Plata - Huancavelica (kg.f)","Producción de productos mineros según departamentos - Plata - Huánuco (kg.f)","Producción de productos mineros según departamentos - Plata - Ica (kg.f)","Producción de productos mineros según departamentos - Plata - Junín (kg.f)","Producción de productos mineros según departamentos - Plata - La Libertad (kg.f)","Producción de productos mineros según departamentos - Plata - Lima (kg.f)","Producción de productos mineros según departamentos - Plata - Moquegua (kg.f)","Producción de productos mineros según departamentos - Plata - Pasco (kg.f)","Producción de productos mineros según departamentos - Plata - Puno (kg.f)","Producción de productos mineros según departamentos - Plata - Tacna (kg.f)","Producción de productos mineros según departamentos - Plomo - Total (tm.f)","Producción de productos mineros según departamentos - Plomo - Ancash (tm.f)","Producción de productos mineros según departamentos - Plomo - Arequipa (tm.f)","Producción de productos mineros según departamentos - Plomo - Ayacucho (tm.f)","Producción de productos mineros según departamentos - Plomo - Cajamarca (tm.f)","Producción de productos mineros según departamentos - Plomo - Cusco (tm.f)","Producción de productos mineros según departamentos - Plomo - Huancavelica (tm.f)","Producción de productos mineros según departamentos - Plomo - Huánuco (tm.f)","Producción de productos mineros según departamentos - Plomo - Ica (tm.f)","Producción de productos mineros según departamentos - Plomo - Junín (tm.f)","Producción de productos mineros según departamentos - Plomo - La Libertad (tm.f)","Producción de productos mineros según departamentos - Plomo - Lima (tm.f)","Producción de productos mineros según departamentos - Plomo - Pasco (tm.f)","Producción de productos mineros según departamentos - Plomo - Puno (tm.f)","Producción de productos mineros según departamentos - Tungsteno - Total (tm.f)","Producción de productos mineros según departamentos - Tungsteno - Ancash (tm.f)","Producción de productos mineros según departamentos - Zinc - Total (tm.f)","Producción de productos mineros según departamentos - Zinc - Ancash (tm.f)","Producción de productos mineros según departamentos - Zinc - Arequipa (tm.f)","Producción de productos mineros según departamentos - Zinc - Ayacucho (tm.f)","Producción de productos mineros según departamentos - Zinc - Cajamarca (tm.f)","Producción de productos mineros según departamentos - Zinc - Cusco (tm.f)","Producción de productos mineros según departamentos - Zinc - Huancavelica (tm.f)","Producción de productos mineros según departamentos - Zinc - Huánuco (tm.f)","Producción de productos mineros según departamentos - Zinc - Ica (tm.f)","Producción de productos mineros según departamentos - Zinc - Junín (tm.f)","Producción de productos mineros según departamentos - Zinc - La Libertad (tm.f)","Producción de productos mineros según departamentos - Zinc - Lima (tm.f)","Producción de productos mineros según departamentos - Zinc - Pasco (tm.f)","Producción de productos mineros según departamentos - Zinc - Puno (tm.f)"
Ene01,46603.179994,77.3231,n.d.,6274.818986,18.7394,0,6264.825168,1394.625211,558.3702,0,507.36636,149.097046,1492.891583,15446.804488,380.0866,0,14038.231852,3292.087098,3292.087098,274613.392795,274613.392795,819.1823,0,0,0,444.8314,374.3509,9907924.819765,1186444.451132,0,1273226.880095,665.5935,4932982.479485,49186.359768,22993.64642,0,0,1027180.379419,0,16671.8028,0,0,33938.941106,0,0,204203.14157,9724.151308,0,27264.088191,411.96734,9206.295747,2108.601061,7367.976132,5351.200142,0,28208.390871,11498.435537,57210.817044,0,45851.218197,0,0,23156.076815,2028.758489,39.366845,435.877,561.727653,0,636.414236,1012.6753,0,2493.818602,767.410514,4359.490824,10820.537352,0,0,0,77448.098282,5289.216668,62.649522,741.9714,1301.536095,0,792.924395,3061.3968,0,16037.083455,1966.173285,18025.848418,30169.298244,0
Feb01,37995.20509,96.396868,n.d.,5708.478719,21.055,0,4914.108564,1278.570993,385.2027,0,427.121228,146.780174,1391.038003,10624.943122,317.9676,0,12683.542119,2894.092709,2894.092709,218494.2643,218494.2643,524.620055,0,0,0,265.459485,259.16057,10123385.9254,1200933.08303,0,1202020.802415,4402.478097,5095489.630664,29607.42001,20635.15628,0,0,1153025.765108,0,14746.935,0,0,28434.831774,464.535097,0,186913.964474,14146.221543,0,23944.411962,431.475753,9318.203995,1591.233911,4763.73851,4058.886269,0,26537.55752,10772.62346,54383.540488,0,36966.071063,0,0,21158.996026,1872.219196,32.75491,445.2342,561.010494,0,492.09397,833.6435,0,2460.403182,764.946321,4077.430075,9619.260178,0,0,0,73911.058593,5031.857466,47.019145,773.6871,1452.038968,0,589.623351,2436.279,0,16545.409237,1939.810508,17534.557729,27560.776089,0
Mar01,44790.378291,75.752212,n.d.,6317.712796,57.6615,0,7856.68108,1330.42154,548.8986,0,547.230227,180.135066,1320.168557,13750.390553,484.296836,0,12321.029324,3099.45463,3099.45463,243576.901,243576.901,663.954267,0,0,0,381.079195,282.875072,10522623.527551,1689403.011376,0,1154618.749891,8100.327306,4878820.094145,85958.730464,18312.8928,0,2518.296,1269380.815853,0,15001.8296,0,0,31297.075116,581.418122,0,200438.414691,12280.664543,0,26164.86414,266.605205,9202.906301,2722.139001,5032.741977,4769.805459,0,27627.621196,12490.128395,61133.473574,0,38747.4649,0,0,22881.53667,2318.406416,45.0608,270.768,570.660292,0,471.338527,905.6123,0,2584.87687,822.639393,4753.58736,10138.586712,0,0,0,80219.608363,5447.076468,67.816504,473.1399,1410.515481,0,595.107092,2968.4198,0,17916.641342,2032.739499,19790.223239,29517.929038,0
Abr01,43199.694534,69.035828,n.d.,6129.881624,16.3032,0,7321.975752,1402.681916,549.7264,0,453.467943,159.368874,1274.803997,13372.692501,589.111725,0,11860.644774,3349.512461,3349.512461,239722.2012,239722.2012,591.360172,0,0,0,373.562284,217.797888,10661109.205502,2164328.692972,0,1169202.865944,4513.220544,4486130.557108,96139.3875,18270.055,0,0,1315215.201065,0,15882.6082,0,0,32096.69724,689.635145,0,193475.990078,13555.840084,0,26334.407832,337.845533,7631.97773,2614.957711,4852.931794,4487.209059,0,26812.050001,11134.672327,54881.982533,0,40832.115474,0,0,21964.580332,1968.03727,39.989144,349.572,594.195115,0,465.517352,803.48,0,2564.821521,728.572296,4248.11981,10202.275824,0,0,0,80521.366678,5155.399044,64.17356,630.1632,1465.067792,0,598.349021,3361.4645,0,18022.307171,1796.793548,19085.273893,30342.374949,0
May01,45608.913843,126.015434,n.d.,6493.619305,0,0,6759.983445,1454.11234,582.5576,0,474.343636,155.756298,1432.341637,13273.618724,754.837872,0,14101.727552,2993.811871,2993.811871,251086.2225,251086.2225,546.90766,0,0,0,292.611257,254.296403,11296543.934723,3835993.17953,0,1143858.227529,253.8168,3435878.316065,81229.01682,18093.414,0,0,1326635.054537,0,14949.7064,0,0,36217.955869,1837.953385,0,207005.968044,14667.508909,0,25684.237716,298.532384,9060.312551,2466.678013,5164.224491,4352.578813,0,27800.382417,10842.642696,58574.499648,0,48094.370406,0,0,24936.848327,2359.018449,42.864171,318.3624,446.342588,0,509.809745,835.213,0,2459.048104,786.2194,4746.94,12433.03047,0,0,0,83829.825877,5173.82972,65.424261,513.6465,1253.608875,0,696.359184,3289.8396,0,18793.850735,1903.683037,20047.030086,32092.553879,0
Jun01,42623.547751,71.762425,n.d.,6310.55004,0,0,6687.914524,1458.4232,543.15013,0,482.4067,140.522186,1311.261175,12137.615752,744.843027,0,12735.098592,2976.542683,2976.542683,222276.602,222276.602,526.779811,0,0,0,244.833447,281.946364,11984702.239969,3330795.119254,35117.962925,1241648.22804,4838.094563,4476734.713532,97329.3174,19428.15774,0,0,1321529.946437,0,13362.171,0,0,28801.611456,1531.621321,0,203334.227195,13483.508818,88.130917,24026.784938,383.398039,7905.358776,2350.969359,5456.24787,5123.229162,0,25427.082903,10169.929293,57169.64766,0,51749.93946,0,0,24131.987752,2321.541765,44.354625,397.7956,533.535439,0,573.857026,761.84377,0,2300.698454,771.867531,4520.872195,11905.621347,0,0,0,82544.195379,4916.85734,66.168375,718.1433,1331.914579,0,773.805812,3281.47514,0,17498.129707,1836.18004,19519.624699,32601.896387,0
Jul01,72467.823513,26630.399718,n.d.,6464.001263,0,15.717429,6744.086792,1406.618138,578.0028,0,472.485161,150.653328,1392.108742,13726.306209,755.20804,0,14132.235893,3244.081396,3244.081396,248689.2839,248689.2839,743.533179,51.9948,0,0,328.708371,362.830008,12022412.747222,3083790.03431,30605.447088,1258747.449646,964.224,4890405.09382,113009.02192,21481.8222,0,0,1182206.30173,0,11612.932,0,0,31362.597426,2624.53055,0,222681.639216,26463.404039,61.449491,26729.210919,608.039956,7900.877776,2662.968673,8060.3502,4733.314683,0,25802.211912,10385.524474,59904.100654,0,49370.186439,0,0,24216.682475,2248.095444,49.995388,493.205,487.514289,0,513.292878,775.23348,0,2298.284805,704.656599,4855.473457,11790.931135,0,0,0,84376.395775,5739.252028,76.094302,872.7979,1322.053689,0,724.74435,3366.22056,0,17446.145748,1744.3955,20616.959223,32467.732475,0
Ago01,70243.349455,22860.589501,n.d.,6532.979656,4.212,16.193205,7007.35071,1410.641992,555.84408,0,493.073108,165.224533,1354.705297,13485.996368,665.420465,0,15691.11854,3142.895457,3142.895457,267999.235,267999.235,790.829294,132.2015,0,0,348.401592,310.226202,13615183.423771,2959785.62807,0,1286718.2308,800.6076,6396525.259046,149166.3765,26876.8874,0,0,1352303.887182,0,11014.494,0,0,31674.061654,1717.698359,0,229130.285616,34252.628654,0,25063.610317,454.584942,9566.131,2702.99874,7370.535984,4374.965911,0,27021.285261,10604.40288,55100.946787,0,52618.19514,0,0,25396.410526,2051.487171,56.300892,373.882,611.246838,0,534.658583,897.4492,0,2434.765591,720.126787,4756.478823,12960.014641,0,0,0,86924.628101,9284.102354,88.860444,743.4,1476.002746,0,756.443637,2936.31779,0,17981.776687,1810.741642,18547.45711,33299.525691,0
Sep01,78665.554031,30178.97951,n.d.,6388.553402,4.3795,17.17304,7933.930816,1349.597378,609.7015,0,431.330137,172.228445,1314.570529,13685.9413,758.438991,0,15820.729483,3188.092753,3188.092753,258541.793,258541.793,922.434627,155.94,0,0,372.753261,393.741366,11501930.281979,2246497.570947,55690.59814,1287904.526733,788.6327,5029984.252413,104225.9008,45494.349368,0,0,1260350.898746,0,11757.15,0,0,29088.27936,4574.823958,0,226846.842529,26429.568274,110.370181,23706.996957,407.050242,9690.859465,2846.880195,7471.874407,4321.860854,0,24755.122165,10489.60976,57380.267263,0,59236.382766,0,0,25028.42519,2039.875267,57.391218,380.9374,569.324151,0,486.036228,819.8176,0,2293.242836,689.589425,4448.097493,13244.113572,0,0,0,87006.534753,7717.490136,91.150758,737.0522,1360.436729,0,679.675059,3166.1122,0,16511.16668,1730.909541,18878.480279,36134.061171,0
