"","RD12951DM","RD12952DM","RD12953DM","RD12954DM","RD12955DM","RD12956DM","RD12957DM","RD12958DM","RD12959DM","RD12960DM","RD12961DM","RD12962DM","RD12963DM","RD12964DM","RD12965DM","RD12966DM","RD12967DM","RD12968DM","RD12969DM","RD12970DM","RD12971DM","RD12972DM","RD12973DM","RD12974DM","RD12975DM","RD12976DM","RD12977DM","RD12978DM","RD12979DM","RD12980DM","RD12981DM","RD12982DM","RD12983DM","RD12984DM","RD12985DM","RD12986DM","RD12987DM","RD12988DM","RD12989DM","RD12990DM","RD12991DM","RD12992DM","RD12993DM","RD12994DM","RD12995DM","RD12996DM","RD12997DM","RD12998DM","RD12999DM","RD13000DM","RD13001DM","RD13002DM","RD13003DM","RD13004DM","RD13005DM","RD13006DM","RD13007DM","RD13008DM","RD13009DM","RD13010DM","RD13011DM","RD13012DM","RD13013DM","RD13014DM","RD13015DM","RD13016DM","RD13017DM","RD13018DM","RD13019DM","RD13020DM","RD13021DM","RD13022DM","RD13023DM","RD13024DM","RD13025DM","RD13026DM","RD13027DM","RD13028DM","RD13029DM","RD13030DM","RD13031DM","RD13032DM","RD13033DM","RD13034DM","RD13035DM","RD13036DM","RD13037DM","RD13038DM","RD13039DM","RD13040DM","RD13041DM","RD13042DM"
"","Producción de productos mineros según departamentos - Cobre - Total (tm.f)","Producción de productos mineros según departamentos - Cobre - Ancash (tm.f)","Producción de productos mineros según departamentos - Cobre - Apurimac (tm.f)","Producción de productos mineros según departamentos - Cobre - Arequipa (tm.f)","Producción de productos mineros según departamentos - Cobre - Ayacucho (tm.f)","Producción de productos mineros según departamentos - Cobre - Cajamarca (tm.f)","Producción de productos mineros según departamentos - Cobre - Cusco (tm.f)","Producción de productos mineros según departamentos - Cobre - Huancavelica (tm.f)","Producción de productos mineros según departamentos - Cobre - Huánuco (tm.f)","Producción de productos mineros según departamentos - Cobre - Ica (tm.f)","Producción de productos mineros según departamentos - Cobre - Junín (tm.f)","Producción de productos mineros según departamentos - Cobre - La Libertad (tm.f)","Producción de productos mineros según departamentos - Cobre - Lima (tm.f)","Producción de productos mineros según departamentos - Cobre - Moquegua (tm.f)","Producción de productos mineros según departamentos - Cobre - Pasco (tm.f)","Producción de productos mineros según departamentos - Cobre - Puno (tm.f)","Producción de productos mineros según departamentos - Cobre - Tacna (tm.f)","Producción de productos mineros según departamentos - Estaño - Total (tm.f)","Producción de productos mineros según departamentos - Estaño - Puno (tm.f)","Producción de productos mineros según departamentos - Hierro - Total (tm.f)","Producción de productos mineros según departamentos - Hierro - Ica (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Total (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Ancash (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Arequipa (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Junín (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Moquegua (tm.f)","Producción de productos mineros según departamentos - Molibdeno - Tacna (tm.f)","Producción de productos mineros según departamentos - Oro - Total (grs.f)","Producción de productos mineros según departamentos - Oro - Ancash (grs.f)","Producción de productos mineros según departamentos - Oro - Apurimac (grs.f)","Producción de productos mineros según departamentos - Oro - Arequipa (grs.f)","Producción de productos mineros según departamentos - Oro - Ayacucho (grs.f)","Producción de productos mineros según departamentos - Oro - Cajamarca (grs.f)","Producción de productos mineros según departamentos - Oro - Cusco (grs.f)","Producción de productos mineros según departamentos - Oro - Huancavelica (grs.f)","Producción de productos mineros según departamentos - Oro - Ica (grs.f)","Producción de productos mineros según departamentos - Oro - Junín (grs.f)","Producción de productos mineros según departamentos - Oro - La Libertad (grs.f)","Producción de productos mineros según departamentos - Oro - Lambayeque (grs.f)","Producción de productos mineros según departamentos - Oro - Lima (grs.f)","Producción de productos mineros según departamentos - Oro - Madre de Dios (grs.f)","Producción de productos mineros según departamentos - Oro - Moquegua (grs.f)","Producción de productos mineros según departamentos - Oro - Pasco (grs.f)","Producción de productos mineros según departamentos - Oro - Puno (grs.f)","Producción de productos mineros según departamentos - Oro - Tacna (grs.f)","Producción de productos mineros según departamentos - Plata - Total (kg.f)","Producción de productos mineros según departamentos - Plata - Ancash (kg.f)","Producción de productos mineros según departamentos - Plata - Apurímac (kg.f)","Producción de productos mineros según departamentos - Plata - Arequipa (kg.f)","Producción de productos mineros según departamentos - Plata - Ayacucho (kg.f)","Producción de productos mineros según departamentos - Plata - Cajamarca (kg.f)","Producción de productos mineros según departamentos - Plata - Cusco (kg.f)","Producción de productos mineros según departamentos - Plata - Huancavelica (kg.f)","Producción de productos mineros según departamentos - Plata - Huánuco (kg.f)","Producción de productos mineros según departamentos - Plata - Ica (kg.f)","Producción de productos mineros según departamentos - Plata - Junín (kg.f)","Producción de productos mineros según departamentos - Plata - La Libertad (kg.f)","Producción de productos mineros según departamentos - Plata - Lima (kg.f)","Producción de productos mineros según departamentos - Plata - Moquegua (kg.f)","Producción de productos mineros según departamentos - Plata - Pasco (kg.f)","Producción de productos mineros según departamentos - Plata - Puno (kg.f)","Producción de productos mineros según departamentos - Plata - Tacna (kg.f)","Producción de productos mineros según departamentos - Plomo - Total (tm.f)","Producción de productos mineros según departamentos - Plomo - Ancash (tm.f)","Producción de productos mineros según departamentos - Plomo - Arequipa (tm.f)","Producción de productos mineros según departamentos - Plomo - Ayacucho (tm.f)","Producción de productos mineros según departamentos - Plomo - Cajamarca (tm.f)","Producción de productos mineros según departamentos - Plomo - Cusco (tm.f)","Producción de productos mineros según departamentos - Plomo - Huancavelica (tm.f)","Producción de productos mineros según departamentos - Plomo - Huánuco (tm.f)","Producción de productos mineros según departamentos - Plomo - Ica (tm.f)","Producción de productos mineros según departamentos - Plomo - Junín (tm.f)","Producción de productos mineros según departamentos - Plomo - La Libertad (tm.f)","Producción de productos mineros según departamentos - Plomo - Lima (tm.f)","Producción de productos mineros según departamentos - Plomo - Pasco (tm.f)","Producción de productos mineros según departamentos - Plomo - Puno (tm.f)","Producción de productos mineros según departamentos - Tungsteno - Total (tm.f)","Producción de productos mineros según departamentos - Tungsteno - Ancash (tm.f)","Producción de productos mineros según departamentos - Zinc - Total (tm.f)","Producción de productos mineros según departamentos - Zinc - Ancash (tm.f)","Producción de productos mineros según departamentos - Zinc - Arequipa (tm.f)","Producción de productos mineros según departamentos - Zinc - Ayacucho (tm.f)","Producción de productos mineros según departamentos - Zinc - Cajamarca (tm.f)","Producción de productos mineros según departamentos - Zinc - Cusco (tm.f)","Producción de productos mineros según departamentos - Zinc - Huancavelica (tm.f)","Producción de productos mineros según departamentos - Zinc - Huánuco (tm.f)","Producción de productos mineros según departamentos - Zinc - Ica (tm.f)","Producción de productos mineros según departamentos - Zinc - Junín (tm.f)","Producción de productos mineros según departamentos - Zinc - La Libertad (tm.f)","Producción de productos mineros según departamentos - Zinc - Lima (tm.f)","Producción de productos mineros según departamentos - Zinc - Pasco (tm.f)","Producción de productos mineros según departamentos - Zinc - Puno (tm.f)"
Abr24,203904.730533,29806.341928,22689.85384,38035.696705,46.103955,1506.309232,14095.033286,1346.630314,168.193234,11691.001643,15734.074725,0,3735.525545,39567.328317,5366.715461,0,20115.922348,2674.5174,2674.5174,1031955.925154,1031955.925154,3530.472771,411.814446,949.266046,85.006008,989.681907,737.590295,8337858.564576,1527.25088,615.999384,1752035.911259,729650.879953,1430442.03403,177231.438059,54825.5828,43168.593,0,3095981.329185,0,369910.94842,102199.849952,12075.14968,117289.496502,282146.337476,164768.763997,254650.253338,35783.640871,0,7768.35968,17822.509341,1541.691153,7475.433709,12329.209226,4545.255306,12545.290921,34402.766985,1724.184191,61575.424799,6043.409772,42217.097204,1174.405628,7701.574552,22805.010574,1834.489817,2173.290922,434.389935,0,7.392,1991.474135,1088.215058,2462.014466,1626.435162,0,4242.200849,6014.1536,930.95463,0,0,91915.883599,23841.495179,2979.375279,4855.200496,0,0.3745,1421.625262,4912.883736,16079.342998,12948.415806,0,13281.747486,10918.675411,676.747446
May24,231508.922146,48600.921267,22935.449325,38291.399595,38.157292,1651.244664,16790.459799,1425.993606,202.38268,15611.134017,17391.583003,0,3715.592289,40691.029656,3365.161234,130.119248,20668.294471,2746.2692,2746.2692,1187341.29372,1187341.29372,3761.663957,588.376404,788.152284,92.853936,945.04197,932.79704,8063165.647283,1265.57173,1681.998318,1845592.644974,739027.20242,1383607.959832,262660.198188,64685.380682,41475.5598,0,2785304.41489,0,345003.249083,92206.242177,12215.52024,95417.923788,228774.469185,160202.311977,296450.740624,51986.852936,2.899995,9567.831157,19111.138856,1571.954845,7255.86959,12548.949905,5248.732913,16582.651936,47021.626525,1637.363005,65799.907945,0,7454.162007,0.070138,8562.057479,24739.266717,2077.208702,1990.267227,366.772067,0,7,2064.485382,1132.905686,3525.7648,2890.290965,0,4053.424071,6631.147817,0,0,0,112760.318261,30033.261771,2706.630717,4975.803259,0,0,1543.353047,5271.302861,21202.0259,20737.743302,0,13421.217457,12868.979947,0
Jun24,213578.477557,43335.274197,23064.036321,39468.235776,30.824608,1718.572059,14855.212843,1388.949231,174.787688,13861.701126,8659.908419,0,3970.268965,36766.341329,3479.827585,0,22804.53741,2783.0496,2783.0496,1065429.133764,1065429.133764,3779.244867,723.262115,961.009082,43.12245,799.38408,774.062108,7970468.836548,1894.24112,1354.998645,1712136.418114,691612.912849,1440466.78524,150645.902555,70096.5863,45708.83772,0,2818416.520326,0,356899.220397,75321.53735,11818.97596,95264.28615,328692.496998,166132.116824,291269.431155,46095.57724,1.499998,8976.196661,18884.383568,1667.958809,6596.876413,13867.962224,4814.106537,17808.964213,32029.270501,1780.904717,74087.095936,6884.356044,43332.653004,5447.236311,8994.388979,25011.246751,1802.221246,1899.388663,356.44283,0,9.5778,1989.514944,1105.439998,2734.774501,3051.135102,0,4427.821146,6760.929469,874.001052,0,0,106651.798356,31043.744267,2268.835194,4053.56313,0,0.4539,1358.326507,4331.740152,18278.516884,18288.944828,0,12639.507371,13622.467913,765.69821
Jul24,222389.211945,36016.832579,25192.023512,40732.561517,28.658837,1619.048358,16504.39494,212.150098,217.746922,13744.992055,18552.370391,0,4263.687709,36509.007762,7861.404321,166.976712,20767.356232,2820.0151,2820.0151,1041562.64579,1041562.64579,3801.164045,881.779924,921.942433,110.7708,665.906628,839.743326,8331397.955496,1761.84709,107634.007873,1849214.686708,680731.881683,1476471.528804,202632.124846,62614.20609,29238.1902,0,2807592.14419,0,442578.262866,100209.976353,11993.08021,161323.362217,233063.666891,160316.989476,287030.673746,43988.625436,7597.985471,8629.791139,18399.945814,1468.510136,7664.806646,9740.599031,5079.177645,16063.459929,46728.880565,1744.184169,58529.169837,6519.854348,46364.066167,0.732735,8510.884678,26067.124469,1906.612535,2048.291253,390.918443,0,13.3008,2185.585373,1079.231378,3496.519286,3258.84086,0,4230.432487,7457.392054,0,0,0,106723.178607,29245.479754,2738.153016,3417.620761,0,0.544,1483.739846,4793.817121,17997.671724,19669.104689,0,13552.457197,13824.590499,0
Ago24,246567.702841,43769.02298,32848.033148,40887.194875,36.728855,2029.499189,20902.227415,1386.945054,219.34568,14482.4287,20477.074572,0,4017.029635,37502.545092,5713.192035,0,22296.435611,2832.2348,2832.2348,1066912.938414,1066912.938414,3624.976749,932.903582,709.116903,130.5967,813.019411,628.625745,8754136.549808,1145.06684,183757.634265,1942530.429112,757170.932818,1741970.612508,361231.620271,49440.377826,40675.4211,0,2744553.04372,0,342625.439814,93997.742266,13653.55632,141333.175058,248759.265244,87279.232647,341074.610453,50387.454235,12159.820509,10505.874633,21797.61679,1806.298189,9048.121782,12147.113797,4875.513364,17984.21448,46234.326949,1753.284026,82400.293512,7113.273969,46264.397425,7236.924842,9360.081951,26645.153763,1904.192379,1834.042158,467.884164,0,11.921,2184.640214,1575.933973,2784.210938,3089.428415,0,4749.933582,7186.15095,856.81599,0,0,113486.312739,38005.962508,2189.996358,4204.321925,0,0.481,1543.010471,4324.132206,16089.190743,18622.83292,0,14619.576081,13632.701427,254.1071
Sep24,232423.204367,35958.958495,32654.985,36151.865345,28.296838,2169.616,19715.703758,1348.310521,173.415291,16359.652514,20507.868302,0,3813.21263,36577.70802,5769.255871,156.014133,21038.341649,2654.3024,2654.3024,1126462.38892,1126462.38892,4087.314849,858.276584,994.060694,134.01032,857.486118,857.837281,9054872.115308,1231.67836,192951.25,1952843.55093,685787.592835,1902027.627206,542340.90115,45318.157647,44624.3798,0,2662899.763313,0,346613.043932,93252.65182,12577.1616,126684.507771,4063,224375.869751,293411.197926,43100.295685,11597.903323,8533.679908,17875.455462,2090.379966,11923.455425,10363.753344,3677.897337,18425.885995,42292.170997,1560.716493,58915.990436,7057.781909,47612.61428,0.602521,8382.614845,15644.415437,1756.112252,1790.148515,441.544533,0,12.3702,1852.294829,766.873452,2644.081484,2592.414024,0,3788.576148,0,0,0,0,101374.840701,28592.006574,2668.863565,3870.294358,0,0.52735,1177.467018,3845.240151,15195.565576,19152.922075,0,13276.398329,13595.555705,0
Oct24,236797.406515,29148.203624,38547.645498,36464.189485,23.33898,2197.393,21877.58406,1562.829396,179.53999,16786.485371,16811.67281,0,4374.288696,42713.635331,5697.746643,0,20412.853631,2348.3981,2348.3981,1103818.804696,1103818.804696,2906.996094,552.160776,488.756849,94.493091,739.550326,718.531594,9410070.156068,1449.46886,246932.775999,1910929.365014,741806.668581,1835416.625466,684185.266843,45355.283463,40346.4538,0,2845183.27754,0,371506.514857,108541.128192,12559.65546,137488.850008,269202.744717,155171.077269,307846.88595,42290.876437,14497.334602,7356.284604,17912.270305,1857.733101,11933.151371,10639.075501,4022.833286,15774.177033,38758.704519,1354.666144,67634.886935,7049.437919,52297.914904,5971.251641,8496.287648,25677.59044,2054.832566,1798.38189,531.738079,0,9.352,1909.85071,787.397562,1942.044186,2661.717055,0,4742.159262,8383.738085,856.379045,0,0,102358.580361,29912.623239,2515.336177,2968.70496,0,0.472,1239.130791,4846.971342,11413.688046,18871.16392,0,14827.195403,15070.964985,692.329498
Nov24,241882.55674,32329.958772,36986.477784,35648.469833,19.993957,2349.36473,26868.975786,144.727961,171.50295,17232.100538,21976.835109,0,4385.772397,44077.507282,4848.960276,129.290959,14712.618406,2914.2088,2914.2088,1089161.3712,1089161.3712,2991.001167,587.347855,761.595057,89.739174,804.986273,490.986662,9115309.244133,1244.1075,241603.041953,1733310.709775,806557.716585,1630614.147288,774314.47139,50203.17528,41555.27289,0,2760985.189605,0,391363.441706,81202.548999,12907.841,129664.165915,222699.711037,151277.283035,289546.414745,49868.100253,13581.399468,8128.812102,18410.579677,1728.458834,12118.791538,8547.604125,4112.774969,19051.323961,43175.05444,1723.349686,52437.571459,6230.949945,44585.277004,0.256357,5846.110927,23034.684564,2097.180999,1837.680844,541.425289,0,5.698,1839.957974,702.077792,2436.770386,2487.096828,0,3502.613775,7584.182677,0,0,0,105405.145083,38557.198288,2707.495726,2933.027857,0,0.3885,1236.121996,3600.742211,9950.76982,19162.94891,0,13791.305646,13465.146129,0
Dic24,262452.168432591,36862.24326096,30584.33499,39260.208007,37.2663396,2331.43155,25745.91350151,1567.85759835,179.0244454,18044.20349738,30096.698649199,0,4307.45650396,46285.479823464,6119.03958546,0,21031.010680308,2423.1168,2423.1168,1065597.166414,1065597.166414,3974.3798816428,682.4427245,1084.5943848,169.628703,1019.1688664928,768.0213845,9708363.5841101,1763.31938,200300.502622,1925106.96739119,578622.001859448,2013605.219425,575734.009165,45878.1024795,47913.91346,0,3022938.90480966,0,528955.325470561,94432.8895936357,12925.44294,163264.7562737,241551.479114987,147445.8495,344967.785537776,54553.9432661604,10688.2498550512,7640.8187065627,20081.1328363197,2483.7061140164,14761.1603918528,12209.8607849402,4284.1454830022,22209.8390012217,53281.8463655675,1828.1363558352,72114.2666088923,6939.3220611748,48744.3250174735,5043.3808568772,8103.6518328281,25604.81244077,2157.0050257,1856.4392537,683.45222537,0,1985.5555635,798.8809221,1620.510984,2839.103275703,n.d.,0,4464.00378366,8324.628314837,875.2330922,0,0,111390.396807363,37376.0598999,2862.0216483,5071.20827995,0,0.675,1427.6385429,5271.9239432,8955.25538,21481.712687856,0,13483.3025284,14757.736733657,702.8621632
